>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 192 candidates, totalling 960 fits
0 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.78; std - 0.01
40 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.74; std - 0.01
41 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
42 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.73; std - 0.00
43 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
44 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.74; std - 0.01
45 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
46 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.73; std - 0.00
47 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
48 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.78; std - 0.01
49 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.79; std - 0.00
50 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.78; std - 0.00
51 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.00
52 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.78; std - 0.01
53 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.79; std - 0.00
54 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.78; std - 0.00
55 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.00
56 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.77; std - 0.00
57 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.77; std - 0.00
58 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.77; std - 0.00
59 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.78; std - 0.00
60 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.77; std - 0.00
61 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.77; std - 0.00
62 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.77; std - 0.00
63 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.78; std - 0.00
64 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
65 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
66 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
67 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.01
68 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
69 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
70 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
71 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.01
72 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
73 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
74 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.01
75 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.01
76 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
77 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
78 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.01
79 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.01
80 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
81 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
82 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
83 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.74; std - 0.00
84 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
85 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
86 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
87 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.74; std - 0.00
88 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.74; std - 0.01
89 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
90 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.73; std - 0.00
91 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
92 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.74; std - 0.01
93 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
94 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.73; std - 0.00
95 params - {'clf__dual': True, 'clf__loss': 'squared_hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
96 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - nan; std - nan
97 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - nan; std - nan
98 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - nan; std - nan
99 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - nan; std - nan
100 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - nan; std - nan
101 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - nan; std - nan
102 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - nan; std - nan
103 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - nan; std - nan
104 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - nan; std - nan
105 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - nan; std - nan
106 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - nan; std - nan
107 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - nan; std - nan
108 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - nan; std - nan
109 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - nan; std - nan
110 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - nan; std - nan
111 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - nan; std - nan
112 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - nan; std - nan
113 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - nan; std - nan
114 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - nan; std - nan
115 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - nan; std - nan
116 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - nan; std - nan
117 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - nan; std - nan
118 params - {'clf__dual': False, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - nan; std - nan
