>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 13440 candidates, totalling 67200 fits
0 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
33 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
34 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
35 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
36 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.01
37 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.01
38 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
39 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
40 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
41 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
42 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
43 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
44 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
45 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
46 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
47 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.66; std - 0.00
48 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.01
49 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.01
50 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
51 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
52 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
53 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
54 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
55 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
56 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
57 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
58 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
59 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
60 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.01
61 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.01
62 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
63 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
64 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.64; std - 0.00
65 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.64; std - 0.00
66 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
67 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
68 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.01
69 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
70 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
71 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
72 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.01
73 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.01
74 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
75 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
76 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
77 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
78 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
79 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
80 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
81 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
82 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
83 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
84 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.01
85 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.01
86 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
87 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
88 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.64; std - 0.00
89 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.64; std - 0.00
90 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.64; std - 0.00
91 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.64; std - 0.00
92 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
93 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
94 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
95 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
96 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
97 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
98 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
99 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
