>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 576 candidates, totalling 2880 fits
0 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
19 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.66; std - 0.00
20 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
21 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
22 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
23 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
24 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.67; std - 0.01
25 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.67; std - 0.01
26 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.67; std - 0.01
27 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.67; std - 0.01
28 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.67; std - 0.00
29 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.67; std - 0.01
30 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.67; std - 0.01
31 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.67; std - 0.01
32 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
33 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
34 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
35 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
36 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.69; std - 0.00
37 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.69; std - 0.01
38 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.69; std - 0.01
39 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.69; std - 0.01
40 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.69; std - 0.00
41 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.69; std - 0.00
42 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.69; std - 0.01
43 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.69; std - 0.01
44 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
45 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
46 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
47 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
48 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.71; std - 0.01
49 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.71; std - 0.01
50 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.71; std - 0.01
51 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.71; std - 0.01
52 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.71; std - 0.00
53 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.71; std - 0.00
54 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.71; std - 0.01
55 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.71; std - 0.01
56 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
57 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
58 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
59 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
60 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.72; std - 0.01
61 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.72; std - 0.01
62 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.71; std - 0.01
63 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.71; std - 0.00
64 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.72; std - 0.01
65 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.72; std - 0.01
66 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.72; std - 0.01
67 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.72; std - 0.01
68 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
69 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
70 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
71 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
72 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.67; std - 0.01
73 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.67; std - 0.01
74 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.67; std - 0.01
75 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.67; std - 0.01
76 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.67; std - 0.01
77 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.67; std - 0.01
78 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.67; std - 0.01
79 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.67; std - 0.01
80 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
81 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
82 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
83 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
84 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.68; std - 0.00
85 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.68; std - 0.01
86 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.68; std - 0.01
87 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.68; std - 0.01
88 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.68; std - 0.00
89 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.68; std - 0.00
90 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.68; std - 0.01
91 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.68; std - 0.01
92 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
93 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
94 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
95 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
96 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.70; std - 0.00
97 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.70; std - 0.01
98 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.70; std - 0.01
99 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.70; std - 0.01
100 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.70; std - 0.00
101 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.70; std - 0.01
102 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.69; std - 0.01
103 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.69; std - 0.01
104 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
105 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
106 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
107 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
108 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.72; std - 0.01
109 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.72; std - 0.00
110 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.71; std - 0.01
111 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.72; std - 0.00
112 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.72; std - 0.01
113 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.72; std - 0.01
114 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.72; std - 0.01
115 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.72; std - 0.01
116 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
117 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
118 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
119 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
120 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.73; std - 0.01
121 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.73; std - 0.01
122 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.73; std - 0.00
123 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.73; std - 0.01
